Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas41       Pavarde41      1.90              1.85
Vardas73       Pavarde73      1.94              1.54
Vardas83       Pavarde83      2.12              1.74
Vardas40       Pavarde40      2.20              2.38
Vardas86       Pavarde86      2.36              2.27
Vardas79       Pavarde79      2.45              2.63
Vardas89       Pavarde89      2.50              2.85
Vardas21       Pavarde21      2.51              2.11
Vardas97       Pavarde97      2.56              2.47
Vardas11       Pavarde11      2.70              2.61
Vardas60       Pavarde60      2.72              2.62
Vardas63       Pavarde63      2.75              2.61
Vardas16       Pavarde16      2.77              2.60
Vardas53       Pavarde53      2.77              2.45
Vardas91       Pavarde91      2.78              2.80
Vardas94       Pavarde94      2.83              2.62
Vardas61       Pavarde61      2.84              2.45
Vardas48       Pavarde48      2.90              3.07
Vardas96       Pavarde96      2.97              2.88
Vardas31       Pavarde31      3.00              2.69
Vardas51       Pavarde51      3.17              2.84
Vardas98       Pavarde98      3.19              2.92
Vardas54       Pavarde54      3.23              2.97
Vardas80       Pavarde80      3.32              3.18
Vardas69       Pavarde69      3.33              3.38
Vardas67       Pavarde67      3.49              3.80
Vardas4        Pavarde4       3.54              3.55
Vardas17       Pavarde17      3.69              3.27
Vardas18       Pavarde18      3.71              3.26
Vardas62       Pavarde62      3.83              3.34
Vardas34       Pavarde34      3.97              3.55
Vardas22       Pavarde22      3.97              4.60
Vardas55       Pavarde55      4.00              4.18
Vardas33       Pavarde33      4.01              3.96
Vardas88       Pavarde88      4.12              3.91
Vardas28       Pavarde28      4.13              4.15
Vardas8        Pavarde8       4.16              3.82
Vardas66       Pavarde66      4.29              4.00
Vardas26       Pavarde26      4.30              4.02
Vardas20       Pavarde20      4.33              4.18
Vardas70       Pavarde70      4.34              4.26
Vardas47       Pavarde47      4.37              4.52
Vardas12       Pavarde12      4.39              4.41
Vardas95       Pavarde95      4.52              4.32
Vardas76       Pavarde76      4.55              4.84
Vardas90       Pavarde90      4.62              4.46
Vardas99       Pavarde99      4.66              4.81
Vardas74       Pavarde74      4.70              4.44
Vardas29       Pavarde29      4.98              4.44
