Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas321      Pavarde321     4.30              5.02
Vardas216      Pavarde216     4.41              5.04
Vardas257      Pavarde257     4.47              5.07
Vardas538      Pavarde538     4.61              5.12
Vardas946      Pavarde946     4.72              5.02
Vardas670      Pavarde670     4.73              5.06
Vardas461      Pavarde461     4.77              5.04
Vardas204      Pavarde204     4.77              5.08
Vardas556      Pavarde556     4.86              5.36
Vardas949      Pavarde949     4.87              5.09
Vardas672      Pavarde672     4.89              5.22
Vardas902      Pavarde902     4.91              5.06
Vardas652      Pavarde652     4.95              5.47
Vardas665      Pavarde665     4.96              5.17
Vardas988      Pavarde988     4.99              5.31
Vardas9        Pavarde9       5.00              5.15
Vardas597      Pavarde597     5.01              4.82
Vardas992      Pavarde992     5.02              5.08
Vardas476      Pavarde476     5.02              4.76
Vardas420      Pavarde420     5.03              5.26
Vardas790      Pavarde790     5.03              4.66
Vardas136      Pavarde136     5.05              5.21
Vardas848      Pavarde848     5.05              5.00
Vardas727      Pavarde727     5.05              4.84
Vardas170      Pavarde170     5.05              5.00
Vardas768      Pavarde768     5.07              5.15
Vardas731      Pavarde731     5.07              5.40
Vardas344      Pavarde344     5.10              5.02
Vardas393      Pavarde393     5.11              4.88
Vardas227      Pavarde227     5.11              5.15
Vardas413      Pavarde413     5.12              5.12
Vardas736      Pavarde736     5.13              4.98
Vardas1        Pavarde1       5.13              5.22
Vardas535      Pavarde535     5.14              5.26
Vardas729      Pavarde729     5.14              5.47
Vardas210      Pavarde210     5.16              5.16
Vardas276      Pavarde276     5.16              5.68
Vardas51       Pavarde51      5.17              5.30
Vardas741      Pavarde741     5.17              5.08
Vardas445      Pavarde445     5.18              5.47
Vardas596      Pavarde596     5.19              5.26
Vardas641      Pavarde641     5.19              5.20
Vardas765      Pavarde765     5.20              5.12
Vardas404      Pavarde404     5.20              5.16
Vardas751      Pavarde751     5.20              5.36
Vardas22       Pavarde22      5.21              5.08
Vardas899      Pavarde899     5.22              5.36
Vardas818      Pavarde818     5.22              4.99
Vardas905      Pavarde905     5.22              5.37
Vardas340      Pavarde340     5.23              5.13
Vardas692      Pavarde692     5.24              5.32
Vardas822      Pavarde822     5.27              5.20
Vardas564      Pavarde564     5.27              5.12
Vardas95       Pavarde95      5.28              5.27
Vardas240      Pavarde240     5.28              4.75
Vardas175      Pavarde175     5.28              5.50
Vardas355      Pavarde355     5.29              5.33
Vardas215      Pavarde215     5.30              5.30
Vardas891      Pavarde891     5.31              5.10
Vardas54       Pavarde54      5.32              5.33
Vardas17       Pavarde17      5.32              5.61
Vardas840      Pavarde840     5.34              5.37
Vardas565      Pavarde565     5.34              4.97
Vardas553      Pavarde553     5.35              5.52
Vardas428      Pavarde428     5.35              5.16
Vardas865      Pavarde865     5.36              5.25
Vardas771      Pavarde771     5.37              5.25
Vardas593      Pavarde593     5.37              5.59
Vardas59       Pavarde59      5.37              5.31
Vardas496      Pavarde496     5.37              5.60
Vardas558      Pavarde558     5.38              5.32
Vardas312      Pavarde312     5.38              5.00
Vardas293      Pavarde293     5.38              5.23
Vardas66       Pavarde66      5.38              5.37
Vardas398      Pavarde398     5.39              5.29
Vardas820      Pavarde820     5.39              5.44
Vardas322      Pavarde322     5.39              5.40
Vardas238      Pavarde238     5.40              5.61
Vardas488      Pavarde488     5.42              5.37
Vardas432      Pavarde432     5.43              5.14
Vardas568      Pavarde568     5.43              5.65
Vardas571      Pavarde571     5.44              5.82
Vardas142      Pavarde142     5.45              5.46
Vardas376      Pavarde376     5.45              5.54
Vardas637      Pavarde637     5.45              5.51
Vardas31       Pavarde31      5.46              5.51
Vardas922      Pavarde922     5.46              5.36
Vardas487      Pavarde487     5.46              5.32
Vardas850      Pavarde850     5.46              5.70
Vardas737      Pavarde737     5.46              5.66
Vardas581      Pavarde581     5.47              5.34
Vardas689      Pavarde689     5.47              5.46
Vardas578      Pavarde578     5.48              5.39
Vardas102      Pavarde102     5.48              5.10
Vardas943      Pavarde943     5.48              5.58
Vardas584      Pavarde584     5.50              5.70
Vardas223      Pavarde223     5.53              5.09
Vardas148      Pavarde148     5.53              6.06
Vardas494      Pavarde494     5.54              5.74
Vardas471      Pavarde471     5.55              5.62
Vardas892      Pavarde892     5.55              5.51
Vardas711      Pavarde711     5.56              5.69
Vardas274      Pavarde274     5.56              5.59
Vardas936      Pavarde936     5.58              5.41
Vardas824      Pavarde824     5.59              5.87
Vardas453      Pavarde453     5.60              5.44
Vardas26       Pavarde26      5.62              5.45
Vardas769      Pavarde769     5.63              5.46
Vardas826      Pavarde826     5.63              5.98
Vardas115      Pavarde115     5.64              6.06
Vardas715      Pavarde715     5.64              5.70
Vardas829      Pavarde829     5.64              5.36
Vardas119      Pavarde119     5.65              5.51
Vardas545      Pavarde545     5.65              5.77
Vardas357      Pavarde357     5.66              5.78
Vardas324      Pavarde324     5.66              6.11
Vardas666      Pavarde666     5.67              5.92
Vardas60       Pavarde60      5.68              6.22
Vardas747      Pavarde747     5.68              6.06
Vardas882      Pavarde882     5.69              5.74
Vardas209      Pavarde209     5.69              5.58
Vardas810      Pavarde810     5.69              6.05
Vardas679      Pavarde679     5.69              5.98
