Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas5730     Pavarde5730    1.09              1.14
Vardas4153     Pavarde4153    1.10              1.10
Vardas7257     Pavarde7257    1.28              1.28
Vardas7373     Pavarde7373    1.42              1.42
Vardas8561     Pavarde8561    1.47              1.61
Vardas4732     Pavarde4732    1.50              1.50
Vardas849      Pavarde849     1.59              1.74
Vardas9055     Pavarde9055    1.59              1.43
Vardas7635     Pavarde7635    1.63              2.03
Vardas9490     Pavarde9490    1.67              1.78
Vardas4983     Pavarde4983    1.68              1.84
Vardas1967     Pavarde1967    1.70              1.95
Vardas5148     Pavarde5148    1.72              1.72
Vardas2493     Pavarde2493    1.79              1.97
Vardas369      Pavarde369     1.81              2.37
Vardas6852     Pavarde6852    1.83              1.83
Vardas6493     Pavarde6493    1.83              1.55
Vardas5959     Pavarde5959    1.84              1.84
Vardas9493     Pavarde9493    1.84              1.52
Vardas4216     Pavarde4216    1.86              2.01
Vardas2693     Pavarde2693    1.88              1.93
Vardas206      Pavarde206     1.88              2.73
Vardas9822     Pavarde9822    1.89              2.02
Vardas6498     Pavarde6498    1.89              2.09
Vardas213      Pavarde213     1.91              2.36
Vardas1760     Pavarde1760    1.92              2.03
Vardas8713     Pavarde8713    1.92              1.49
Vardas2264     Pavarde2264    1.95              1.96
Vardas6072     Pavarde6072    1.95              2.44
Vardas9528     Pavarde9528    1.95              2.08
Vardas4971     Pavarde4971    1.96              1.72
Vardas4671     Pavarde4671    1.96              1.96
Vardas8856     Pavarde8856    1.98              2.22
Vardas6185     Pavarde6185    1.98              1.65
Vardas9070     Pavarde9070    1.98              1.98
Vardas3319     Pavarde3319    2.00              1.96
Vardas1766     Pavarde1766    2.01              1.60
Vardas9719     Pavarde9719    2.01              2.19
Vardas9173     Pavarde9173    2.01              2.61
Vardas7545     Pavarde7545    2.01              2.03
Vardas5509     Pavarde5509    2.03              1.59
Vardas2300     Pavarde2300    2.04              1.49
Vardas596      Pavarde596     2.04              2.09
Vardas9646     Pavarde9646    2.05              2.36
Vardas2030     Pavarde2030    2.05              1.73
Vardas2843     Pavarde2843    2.05              2.09
Vardas3101     Pavarde3101    2.05              2.33
Vardas6914     Pavarde6914    2.06              2.24
Vardas8067     Pavarde8067    2.06              2.27
Vardas3191     Pavarde3191    2.06              1.53
Vardas5470     Pavarde5470    2.06              2.26
Vardas5877     Pavarde5877    2.07              2.56
Vardas8458     Pavarde8458    2.08              2.07
Vardas5902     Pavarde5902    2.08              2.90
Vardas802      Pavarde802     2.08              1.77
Vardas149      Pavarde149     2.09              2.51
Vardas7098     Pavarde7098    2.10              2.35
Vardas2100     Pavarde2100    2.10              3.04
Vardas2633     Pavarde2633    2.10              1.90
Vardas2516     Pavarde2516    2.11              2.23
Vardas8056     Pavarde8056    2.11              2.10
Vardas6509     Pavarde6509    2.11              2.26
Vardas5467     Pavarde5467    2.11              2.00
Vardas2748     Pavarde2748    2.13              1.69
Vardas5256     Pavarde5256    2.13              2.17
Vardas7051     Pavarde7051    2.13              2.13
Vardas7476     Pavarde7476    2.13              2.01
Vardas8011     Pavarde8011    2.14              1.80
Vardas9280     Pavarde9280    2.14              2.25
Vardas2842     Pavarde2842    2.15              1.93
Vardas1353     Pavarde1353    2.15              1.93
Vardas6341     Pavarde6341    2.15              2.49
Vardas3126     Pavarde3126    2.16              1.89
Vardas7157     Pavarde7157    2.18              3.31
Vardas4450     Pavarde4450    2.18              2.55
Vardas8234     Pavarde8234    2.18              2.86
Vardas3130     Pavarde3130    2.19              2.45
Vardas1400     Pavarde1400    2.19              2.05
Vardas3493     Pavarde3493    2.19              2.34
Vardas7417     Pavarde7417    2.20              2.17
Vardas9067     Pavarde9067    2.20              2.00
Vardas2910     Pavarde2910    2.20              2.51
Vardas2441     Pavarde2441    2.20              2.13
Vardas5724     Pavarde5724    2.20              1.78
Vardas4283     Pavarde4283    2.20              2.21
Vardas1201     Pavarde1201    2.21              2.06
Vardas5972     Pavarde5972    2.22              2.22
Vardas1239     Pavarde1239    2.24              2.07
Vardas8111     Pavarde8111    2.24              2.22
Vardas7434     Pavarde7434    2.24              2.20
Vardas925      Pavarde925     2.24              2.22
Vardas9451     Pavarde9451    2.24              2.96
Vardas971      Pavarde971     2.25              1.84
Vardas7652     Pavarde7652    2.25              3.34
Vardas660      Pavarde660     2.25              2.08
Vardas5999     Pavarde5999    2.26              2.28
Vardas1755     Pavarde1755    2.26              1.69
Vardas8709     Pavarde8709    2.26              1.60
Vardas4541     Pavarde4541    2.27              2.57
Vardas1234     Pavarde1234    2.27              2.25
Vardas8989     Pavarde8989    2.27              2.36
Vardas6012     Pavarde6012    2.27              2.08
Vardas397      Pavarde397     2.27              2.06
Vardas635      Pavarde635     2.27              2.21
Vardas4850     Pavarde4850    2.28              2.30
Vardas6733     Pavarde6733    2.28              2.38
Vardas6624     Pavarde6624    2.28              2.30
Vardas1043     Pavarde1043    2.28              2.62
Vardas6122     Pavarde6122    2.29              2.10
Vardas1563     Pavarde1563    2.30              2.33
Vardas8274     Pavarde8274    2.30              2.47
Vardas6078     Pavarde6078    2.30              2.02
Vardas612      Pavarde612     2.30              2.23
Vardas2151     Pavarde2151    2.31              2.43
Vardas5110     Pavarde5110    2.31              1.96
Vardas8682     Pavarde8682    2.31              2.24
Vardas9168     Pavarde9168    2.31              2.99
Vardas2256     Pavarde2256    2.31              1.80
Vardas5057     Pavarde5057    2.32              2.24
Vardas1024     Pavarde1024    2.32              1.96
Vardas7038     Pavarde7038    2.32              1.86
Vardas1069     Pavarde1069    2.32              2.40
Vardas2310     Pavarde2310    2.32              1.80
Vardas3348     Pavarde3348    2.33              2.67
Vardas6268     Pavarde6268    2.33              2.33
Vardas5537     Pavarde5537    2.33              2.36
Vardas8306     Pavarde8306    2.33              2.37
Vardas5238     Pavarde5238    2.33              1.98
Vardas5273     Pavarde5273    2.33              2.63
Vardas4592     Pavarde4592    2.34              2.67
Vardas1954     Pavarde1954    2.34              2.54
Vardas5755     Pavarde5755    2.34              3.21
Vardas9918     Pavarde9918    2.34              1.57
Vardas558      Pavarde558     2.34              3.09
Vardas663      Pavarde663     2.34              2.33
Vardas3150     Pavarde3150    2.35              2.18
Vardas637      Pavarde637     2.35              2.04
Vardas7290     Pavarde7290    2.35              2.60
Vardas89       Pavarde89      2.35              1.97
Vardas2948     Pavarde2948    2.35              2.16
Vardas4391     Pavarde4391    2.36              2.87
Vardas9687     Pavarde9687    2.37              2.68
Vardas423      Pavarde423     2.37              2.37
Vardas860      Pavarde860     2.37              2.37
Vardas4186     Pavarde4186    2.38              2.17
Vardas3410     Pavarde3410    2.38              2.49
Vardas3459     Pavarde3459    2.38              2.50
Vardas9539     Pavarde9539    2.38              2.15
Vardas4553     Pavarde4553    2.38              2.56
Vardas7757     Pavarde7757    2.39              2.49
Vardas6814     Pavarde6814    2.39              2.88
Vardas1300     Pavarde1300    2.40              2.30
Vardas5282     Pavarde5282    2.40              2.74
Vardas5634     Pavarde5634    2.40              3.44
Vardas357      Pavarde357     2.40              2.83
Vardas9828     Pavarde9828    2.40              2.13
Vardas740      Pavarde740     2.41              2.66
Vardas6919     Pavarde6919    2.41              2.42
Vardas9403     Pavarde9403    2.41              2.32
Vardas234      Pavarde234     2.41              2.31
Vardas3689     Pavarde3689    2.41              2.30
Vardas4984     Pavarde4984    2.41              2.33
Vardas8583     Pavarde8583    2.42              2.83
Vardas361      Pavarde361     2.43              2.39
Vardas1388     Pavarde1388    2.43              2.33
Vardas7382     Pavarde7382    2.43              2.81
Vardas9937     Pavarde9937    2.43              2.74
Vardas9697     Pavarde9697    2.43              3.16
Vardas1566     Pavarde1566    2.43              3.18
Vardas2566     Pavarde2566    2.43              2.37
Vardas1449     Pavarde1449    2.44              2.24
Vardas5987     Pavarde5987    2.44              1.80
Vardas2102     Pavarde2102    2.44              3.47
Vardas5226     Pavarde5226    2.44              2.64
Vardas1712     Pavarde1712    2.44              2.32
Vardas6561     Pavarde6561    2.44              2.31
Vardas1220     Pavarde1220    2.44              3.11
Vardas1932     Pavarde1932    2.45              2.37
Vardas4204     Pavarde4204    2.45              2.04
Vardas4123     Pavarde4123    2.45              2.31
Vardas1187     Pavarde1187    2.45              2.29
Vardas7684     Pavarde7684    2.45              2.58
Vardas9294     Pavarde9294    2.46              2.52
Vardas9559     Pavarde9559    2.46              2.77
Vardas7266     Pavarde7266    2.46              2.19
Vardas5186     Pavarde5186    2.46              2.65
Vardas3891     Pavarde3891    2.46              2.29
Vardas6895     Pavarde6895    2.46              2.42
Vardas8552     Pavarde8552    2.47              2.67
Vardas7294     Pavarde7294    2.47              2.79
Vardas320      Pavarde320     2.47              2.28
Vardas6738     Pavarde6738    2.47              2.50
Vardas4327     Pavarde4327    2.48              2.80
Vardas9684     Pavarde9684    2.48              2.41
Vardas7220     Pavarde7220    2.48              2.51
Vardas1632     Pavarde1632    2.48              1.96
Vardas7557     Pavarde7557    2.48              2.97
Vardas3440     Pavarde3440    2.48              3.24
Vardas8674     Pavarde8674    2.48              2.22
Vardas4405     Pavarde4405    2.48              2.46
Vardas7043     Pavarde7043    2.48              2.29
Vardas5712     Pavarde5712    2.48              2.37
Vardas5484     Pavarde5484    2.48              2.30
Vardas4696     Pavarde4696    2.48              2.27
Vardas9821     Pavarde9821    2.49              2.78
Vardas7623     Pavarde7623    2.49              2.86
Vardas2614     Pavarde2614    2.49              1.85
Vardas1927     Pavarde1927    2.49              3.43
Vardas8717     Pavarde8717    2.49              2.65
Vardas4416     Pavarde4416    2.49              2.32
Vardas1916     Pavarde1916    2.49              2.16
Vardas3915     Pavarde3915    2.49              2.85
Vardas6416     Pavarde6416    2.49              2.79
Vardas111      Pavarde111     2.49              2.17
Vardas2791     Pavarde2791    2.49              2.60
Vardas9980     Pavarde9980    2.49              2.58
Vardas3186     Pavarde3186    2.49              1.83
Vardas4312     Pavarde4312    2.50              3.65
Vardas8927     Pavarde8927    2.50              2.58
Vardas4489     Pavarde4489    2.50              2.19
Vardas1548     Pavarde1548    2.50              2.27
Vardas155      Pavarde155     2.50              3.00
Vardas5648     Pavarde5648    2.51              2.28
Vardas1267     Pavarde1267    2.51              2.12
Vardas6021     Pavarde6021    2.51              1.72
Vardas6678     Pavarde6678    2.51              2.38
Vardas5666     Pavarde5666    2.51              3.28
Vardas4339     Pavarde4339    2.51              2.56
Vardas9137     Pavarde9137    2.51              2.60
Vardas3058     Pavarde3058    2.51              2.91
Vardas8998     Pavarde8998    2.52              2.20
Vardas7255     Pavarde7255    2.52              2.73
Vardas2345     Pavarde2345    2.52              2.40
Vardas6663     Pavarde6663    2.52              3.13
Vardas9045     Pavarde9045    2.52              3.08
Vardas666      Pavarde666     2.53              2.06
Vardas9787     Pavarde9787    2.53              2.11
Vardas1007     Pavarde1007    2.53              2.36
Vardas4223     Pavarde4223    2.53              2.92
Vardas6071     Pavarde6071    2.53              2.71
Vardas5233     Pavarde5233    2.53              2.39
Vardas8514     Pavarde8514    2.53              2.82
Vardas9851     Pavarde9851    2.53              2.86
Vardas8119     Pavarde8119    2.53              2.91
Vardas9736     Pavarde9736    2.54              2.45
Vardas4455     Pavarde4455    2.54              2.53
Vardas4409     Pavarde4409    2.54              2.39
