Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas542      Pavarde542     4.26              5.11
Vardas863      Pavarde863     4.28              5.28
Vardas3        Pavarde3       4.36              5.08
Vardas837      Pavarde837     4.43              5.12
Vardas733      Pavarde733     4.49              5.48
Vardas743      Pavarde743     4.52              5.19
Vardas941      Pavarde941     4.55              5.00
Vardas903      Pavarde903     4.56              5.24
Vardas766      Pavarde766     4.57              5.17
Vardas493      Pavarde493     4.58              5.37
Vardas184      Pavarde184     4.59              5.14
Vardas562      Pavarde562     4.60              5.68
Vardas554      Pavarde554     4.60              5.26
Vardas927      Pavarde927     4.60              5.05
Vardas679      Pavarde679     4.61              5.24
Vardas617      Pavarde617     4.64              5.24
Vardas732      Pavarde732     4.65              5.32
Vardas869      Pavarde869     4.68              5.03
Vardas446      Pavarde446     4.69              5.06
Vardas582      Pavarde582     4.69              5.66
Vardas469      Pavarde469     4.70              5.44
Vardas383      Pavarde383     4.73              5.50
Vardas831      Pavarde831     4.73              5.18
Vardas643      Pavarde643     4.74              5.39
Vardas508      Pavarde508     4.75              5.06
Vardas526      Pavarde526     4.76              5.27
Vardas521      Pavarde521     4.77              5.21
Vardas98       Pavarde98      4.78              5.79
Vardas318      Pavarde318     4.80              5.90
Vardas470      Pavarde470     4.83              5.39
Vardas289      Pavarde289     4.85              5.26
Vardas455      Pavarde455     4.87              5.60
Vardas570      Pavarde570     4.87              5.39
Vardas677      Pavarde677     4.88              5.68
Vardas89       Pavarde89      4.89              5.10
Vardas143      Pavarde143     4.90              5.45
Vardas108      Pavarde108     4.91              5.30
Vardas362      Pavarde362     4.95              5.07
Vardas563      Pavarde563     4.96              5.33
Vardas491      Pavarde491     4.97              5.21
Vardas267      Pavarde267     4.98              5.95
Vardas94       Pavarde94      5.00              5.10
Vardas500      Pavarde500     5.00              5.09
Vardas509      Pavarde509     5.01              5.01
Vardas623      Pavarde623     5.03              4.80
Vardas503      Pavarde503     5.03              5.30
Vardas856      Pavarde856     5.04              5.20
Vardas447      Pavarde447     5.04              4.86
Vardas270      Pavarde270     5.04              5.09
Vardas216      Pavarde216     5.05              5.36
Vardas472      Pavarde472     5.05              5.37
Vardas803      Pavarde803     5.05              5.30
Vardas591      Pavarde591     5.06              5.16
Vardas88       Pavarde88      5.06              5.28
Vardas690      Pavarde690     5.06              5.79
Vardas672      Pavarde672     5.07              5.70
Vardas654      Pavarde654     5.07              5.12
Vardas808      Pavarde808     5.08              4.98
Vardas981      Pavarde981     5.08              5.08
Vardas961      Pavarde961     5.08              5.28
Vardas200      Pavarde200     5.09              5.03
Vardas333      Pavarde333     5.10              5.20
Vardas548      Pavarde548     5.12              5.59
Vardas99       Pavarde99      5.12              5.59
Vardas97       Pavarde97      5.12              5.49
Vardas979      Pavarde979     5.13              5.24
Vardas835      Pavarde835     5.14              5.20
Vardas947      Pavarde947     5.14              5.88
Vardas153      Pavarde153     5.15              4.80
Vardas783      Pavarde783     5.16              5.04
Vardas336      Pavarde336     5.16              5.13
Vardas414      Pavarde414     5.16              4.57
Vardas682      Pavarde682     5.16              5.49
Vardas315      Pavarde315     5.18              5.60
Vardas668      Pavarde668     5.18              5.90
Vardas988      Pavarde988     5.19              5.30
Vardas190      Pavarde190     5.20              4.82
Vardas201      Pavarde201     5.20              5.32
Vardas492      Pavarde492     5.20              4.92
Vardas375      Pavarde375     5.22              5.14
Vardas215      Pavarde215     5.22              5.68
Vardas242      Pavarde242     5.23              4.98
Vardas458      Pavarde458     5.24              5.48
Vardas911      Pavarde911     5.24              5.57
Vardas612      Pavarde612     5.27              5.50
Vardas160      Pavarde160     5.28              5.37
Vardas741      Pavarde741     5.29              5.74
Vardas313      Pavarde313     5.29              5.30
Vardas877      Pavarde877     5.30              5.80
Vardas169      Pavarde169     5.30              5.48
Vardas669      Pavarde669     5.30              5.18
Vardas33       Pavarde33      5.30              5.05
Vardas366      Pavarde366     5.31              5.64
Vardas481      Pavarde481     5.32              5.32
Vardas253      Pavarde253     5.32              5.46
