Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas35657    Pavarde35657   1.78              1.60
Vardas29129    Pavarde29129   1.84              1.80
Vardas26509    Pavarde26509   1.88              1.80
Vardas90405    Pavarde90405   1.88              1.40
Vardas54552    Pavarde54552   1.88              1.80
Vardas60760    Pavarde60760   1.92              1.80
Vardas95819    Pavarde95819   1.94              1.60
Vardas48203    Pavarde48203   1.96              1.40
Vardas55380    Pavarde55380   1.96              1.60
Vardas15665    Pavarde15665   1.96              1.80
Vardas59080    Pavarde59080   1.96              1.80
Vardas47964    Pavarde47964   1.96              1.80
Vardas94685    Pavarde94685   1.96              1.60
Vardas98301    Pavarde98301   1.98              1.80
Vardas36964    Pavarde36964   1.98              1.60
Vardas71826    Pavarde71826   1.98              1.60
Vardas69814    Pavarde69814   1.98              1.80
Vardas67398    Pavarde67398   1.98              1.80
Vardas97030    Pavarde97030   2.00              1.60
Vardas15614    Pavarde15614   2.00              1.40
Vardas76219    Pavarde76219   2.00              1.60
Vardas89140    Pavarde89140   2.00              1.60
Vardas40611    Pavarde40611   2.00              1.80
Vardas32023    Pavarde32023   2.00              1.60
Vardas23326    Pavarde23326   2.00              1.40
Vardas54947    Pavarde54947   2.02              1.80
Vardas43862    Pavarde43862   2.02              1.80
Vardas68887    Pavarde68887   2.02              1.60
Vardas6221     Pavarde6221    2.02              2.00
Vardas69212    Pavarde69212   2.02              1.40
Vardas60585    Pavarde60585   2.02              1.60
Vardas54317    Pavarde54317   2.02              1.80
Vardas61374    Pavarde61374   2.04              2.00
Vardas60466    Pavarde60466   2.04              1.80
Vardas62336    Pavarde62336   2.04              1.80
Vardas86209    Pavarde86209   2.04              1.80
Vardas29739    Pavarde29739   2.04              1.80
Vardas46224    Pavarde46224   2.04              1.60
Vardas87734    Pavarde87734   2.04              1.80
Vardas88548    Pavarde88548   2.04              1.60
Vardas59781    Pavarde59781   2.06              1.80
Vardas29014    Pavarde29014   2.06              1.80
Vardas30618    Pavarde30618   2.06              1.80
Vardas93982    Pavarde93982   2.06              1.80
Vardas69916    Pavarde69916   2.06              1.80
Vardas65166    Pavarde65166   2.06              1.80
Vardas33195    Pavarde33195   2.06              1.80
Vardas85932    Pavarde85932   2.06              1.40
Vardas51001    Pavarde51001   2.08              2.00
Vardas58083    Pavarde58083   2.08              2.00
Vardas46752    Pavarde46752   2.08              1.80
Vardas71686    Pavarde71686   2.08              1.60
Vardas78428    Pavarde78428   2.08              2.20
Vardas88073    Pavarde88073   2.08              1.80
Vardas15593    Pavarde15593   2.08              1.80
Vardas74640    Pavarde74640   2.08              1.80
Vardas91952    Pavarde91952   2.08              1.80
Vardas4213     Pavarde4213    2.08              2.00
Vardas76493    Pavarde76493   2.08              1.80
Vardas52797    Pavarde52797   2.08              2.00
Vardas93848    Pavarde93848   2.08              1.80
Vardas66831    Pavarde66831   2.08              2.00
Vardas6935     Pavarde6935    2.08              1.80
Vardas3894     Pavarde3894    2.08              1.40
Vardas25310    Pavarde25310   2.10              1.80
Vardas96783    Pavarde96783   2.10              2.00
Vardas66545    Pavarde66545   2.10              1.60
Vardas51616    Pavarde51616   2.10              1.60
Vardas20132    Pavarde20132   2.10              2.00
Vardas1579     Pavarde1579    2.10              1.80
Vardas94171    Pavarde94171   2.10              1.80
Vardas5911     Pavarde5911    2.10              1.40
Vardas46290    Pavarde46290   2.10              1.60
Vardas11502    Pavarde11502   2.10              1.60
Vardas12228    Pavarde12228   2.10              1.80
Vardas20326    Pavarde20326   2.10              2.00
Vardas8818     Pavarde8818    2.10              2.00
