Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas521      Pavarde521     1.09              1.09
Vardas893      Pavarde893     1.12              1.12
Vardas509      Pavarde509     1.12              1.12
Vardas849      Pavarde849     1.13              1.13
Vardas144      Pavarde144     1.20              1.20
Vardas193      Pavarde193     1.34              1.34
Vardas749      Pavarde749     1.44              1.44
Vardas614      Pavarde614     1.46              1.41
Vardas751      Pavarde751     1.69              1.12
Vardas886      Pavarde886     1.86              1.85
Vardas452      Pavarde452     1.86              1.70
Vardas341      Pavarde341     1.87              1.90
Vardas564      Pavarde564     1.89              1.89
Vardas42       Pavarde42      1.94              1.94
Vardas162      Pavarde162     2.01              2.00
Vardas289      Pavarde289     2.04              2.04
Vardas762      Pavarde762     2.05              2.05
Vardas35       Pavarde35      2.05              2.04
Vardas470      Pavarde470     2.06              1.98
Vardas351      Pavarde351     2.07              2.07
Vardas977      Pavarde977     2.09              1.40
Vardas786      Pavarde786     2.12              2.44
Vardas9        Pavarde9       2.12              1.72
Vardas477      Pavarde477     2.12              2.12
Vardas60       Pavarde60      2.13              2.04
Vardas436      Pavarde436     2.14              2.14
Vardas822      Pavarde822     2.14              1.48
Vardas628      Pavarde628     2.15              2.38
Vardas739      Pavarde739     2.16              1.42
Vardas805      Pavarde805     2.16              1.86
Vardas36       Pavarde36      2.17              1.28
Vardas390      Pavarde390     2.17              2.17
Vardas520      Pavarde520     2.18              1.41
Vardas737      Pavarde737     2.18              2.18
Vardas960      Pavarde960     2.18              1.97
Vardas838      Pavarde838     2.20              2.45
Vardas528      Pavarde528     2.24              2.30
Vardas719      Pavarde719     2.24              2.24
Vardas923      Pavarde923     2.25              1.69
Vardas717      Pavarde717     2.25              2.29
Vardas213      Pavarde213     2.29              2.57
Vardas526      Pavarde526     2.30              1.83
Vardas666      Pavarde666     2.31              2.08
Vardas743      Pavarde743     2.31              2.80
Vardas748      Pavarde748     2.31              2.31
Vardas968      Pavarde968     2.31              2.41
Vardas966      Pavarde966     2.32              2.32
Vardas475      Pavarde475     2.32              2.32
Vardas830      Pavarde830     2.32              2.32
Vardas344      Pavarde344     2.33              2.08
Vardas716      Pavarde716     2.34              2.26
Vardas209      Pavarde209     2.34              1.92
Vardas818      Pavarde818     2.35              2.00
Vardas926      Pavarde926     2.35              1.78
Vardas503      Pavarde503     2.36              2.20
Vardas301      Pavarde301     2.36              2.36
Vardas290      Pavarde290     2.38              2.38
Vardas907      Pavarde907     2.38              2.03
Vardas159      Pavarde159     2.41              2.15
Vardas772      Pavarde772     2.43              2.27
Vardas689      Pavarde689     2.43              2.21
Vardas182      Pavarde182     2.45              2.19
Vardas576      Pavarde576     2.49              2.49
Vardas514      Pavarde514     2.49              2.38
Vardas384      Pavarde384     2.49              2.80
Vardas38       Pavarde38      2.50              2.77
Vardas667      Pavarde667     2.51              2.81
Vardas215      Pavarde215     2.51              2.37
Vardas550      Pavarde550     2.52              2.25
