Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas356      Pavarde356     9.38              9.38
Vardas393      Pavarde393     9.31              9.31
Vardas706      Pavarde706     9.28              9.28
Vardas826      Pavarde826     9.18              9.18
Vardas183      Pavarde183     9.17              9.17
Vardas635      Pavarde635     9.11              9.11
Vardas165      Pavarde165     9.02              9.02
Vardas895      Pavarde895     9.00              9.00
Vardas438      Pavarde438     8.94              8.90
Vardas405      Pavarde405     8.93              9.11
Vardas73       Pavarde73      8.77              8.73
Vardas755      Pavarde755     8.75              8.71
Vardas659      Pavarde659     8.72              9.02
Vardas991      Pavarde991     8.67              9.16
Vardas805      Pavarde805     8.66              9.08
Vardas10       Pavarde10      8.65              8.72
Vardas850      Pavarde850     8.61              8.61
Vardas305      Pavarde305     8.54              8.54
Vardas801      Pavarde801     8.48              8.48
Vardas83       Pavarde83      8.45              8.34
Vardas287      Pavarde287     8.44              8.28
Vardas497      Pavarde497     8.41              8.23
Vardas163      Pavarde163     8.40              8.43
Vardas524      Pavarde524     8.40              8.40
Vardas616      Pavarde616     8.38              8.38
Vardas912      Pavarde912     8.37              8.37
Vardas764      Pavarde764     8.35              8.51
Vardas18       Pavarde18      8.33              8.68
Vardas38       Pavarde38      8.33              8.33
Vardas64       Pavarde64      8.32              8.32
Vardas573      Pavarde573     8.31              9.01
Vardas20       Pavarde20      8.30              8.30
Vardas704      Pavarde704     8.28              8.28
Vardas903      Pavarde903     8.27              8.32
Vardas879      Pavarde879     8.27              9.01
Vardas378      Pavarde378     8.25              8.25
Vardas552      Pavarde552     8.24              8.12
Vardas290      Pavarde290     8.22              8.22
Vardas207      Pavarde207     8.21              8.34
Vardas715      Pavarde715     8.20              8.20
Vardas190      Pavarde190     8.19              7.54
Vardas307      Pavarde307     8.18              8.18
Vardas109      Pavarde109     8.17              8.41
Vardas557      Pavarde557     8.10              8.20
Vardas612      Pavarde612     8.09              8.25
Vardas782      Pavarde782     8.08              7.71
Vardas880      Pavarde880     8.08              8.08
Vardas48       Pavarde48      8.07              8.14
Vardas220      Pavarde220     8.05              8.29
Vardas463      Pavarde463     8.04              7.99
Vardas210      Pavarde210     8.03              8.50
Vardas292      Pavarde292     8.02              8.02
Vardas701      Pavarde701     8.02              8.45
Vardas414      Pavarde414     8.01              8.07
Vardas384      Pavarde384     8.00              8.00
Vardas535      Pavarde535     7.98              7.98
Vardas586      Pavarde586     7.97              8.48
Vardas746      Pavarde746     7.96              8.84
Vardas106      Pavarde106     7.96              7.83
Vardas668      Pavarde668     7.96              8.02
Vardas402      Pavarde402     7.96              8.04
Vardas556      Pavarde556     7.96              8.02
Vardas266      Pavarde266     7.93              7.93
Vardas412      Pavarde412     7.92              8.05
Vardas124      Pavarde124     7.92              7.58
Vardas626      Pavarde626     7.91              7.70
Vardas225      Pavarde225     7.91              7.60
Vardas248      Pavarde248     7.89              7.95
Vardas228      Pavarde228     7.89              8.59
Vardas907      Pavarde907     7.87              8.42
Vardas998      Pavarde998     7.87              7.79
Vardas198      Pavarde198     7.87              7.60
Vardas137      Pavarde137     7.86              8.14
Vardas431      Pavarde431     7.86              7.90
Vardas211      Pavarde211     7.85              8.08
Vardas101      Pavarde101     7.85              7.78
Vardas277      Pavarde277     7.85              7.62
Vardas910      Pavarde910     7.83              8.39
Vardas372      Pavarde372     7.83              7.67
Vardas859      Pavarde859     7.82              8.20
Vardas550      Pavarde550     7.82              8.10
Vardas551      Pavarde551     7.79              8.02
Vardas708      Pavarde708     7.78              7.78
Vardas364      Pavarde364     7.77              7.30
Vardas896      Pavarde896     7.77              7.63
Vardas741      Pavarde741     7.76              7.91
Vardas506      Pavarde506     7.76              7.32
Vardas201      Pavarde201     7.76              7.74
Vardas643      Pavarde643     7.76              7.46
Vardas705      Pavarde705     7.75              7.78
Vardas645      Pavarde645     7.75              7.90
Vardas655      Pavarde655     7.75              7.69
