Vardas         Pavarde        Galutinis (vid.)  Galutinis (med.)
-----------------------------------------------------------------
Vardas454      Pavarde454     9.38              9.38
Vardas279      Pavarde279     9.38              9.38
Vardas10       Pavarde10      9.36              9.36
Vardas537      Pavarde537     9.31              9.31
Vardas671      Pavarde671     9.31              9.31
Vardas949      Pavarde949     9.29              9.29
Vardas596      Pavarde596     9.22              9.22
Vardas582      Pavarde582     9.17              9.17
Vardas3        Pavarde3       9.12              9.12
Vardas986      Pavarde986     9.12              9.12
Vardas47       Pavarde47      9.08              9.08
Vardas353      Pavarde353     8.94              8.94
Vardas491      Pavarde491     8.82              8.82
Vardas52       Pavarde52      8.78              9.01
Vardas917      Pavarde917     8.72              8.79
Vardas647      Pavarde647     8.70              9.10
Vardas891      Pavarde891     8.66              8.66
Vardas294      Pavarde294     8.62              8.61
Vardas203      Pavarde203     8.59              8.85
Vardas783      Pavarde783     8.57              8.84
Vardas369      Pavarde369     8.53              8.53
Vardas862      Pavarde862     8.49              8.39
Vardas218      Pavarde218     8.48              8.23
Vardas794      Pavarde794     8.40              8.45
Vardas619      Pavarde619     8.39              8.66
Vardas120      Pavarde120     8.38              8.38
Vardas17       Pavarde17      8.35              8.35
Vardas191      Pavarde191     8.34              9.16
Vardas883      Pavarde883     8.32              8.32
Vardas714      Pavarde714     8.31              8.30
Vardas413      Pavarde413     8.31              8.31
Vardas591      Pavarde591     8.30              8.30
Vardas747      Pavarde747     8.30              8.30
Vardas832      Pavarde832     8.29              8.29
Vardas502      Pavarde502     8.29              9.02
Vardas693      Pavarde693     8.28              8.28
Vardas969      Pavarde969     8.26              8.26
Vardas593      Pavarde593     8.26              8.26
Vardas957      Pavarde957     8.25              8.24
Vardas828      Pavarde828     8.23              8.57
Vardas349      Pavarde349     8.23              8.23
Vardas109      Pavarde109     8.22              8.22
Vardas161      Pavarde161     8.21              8.57
Vardas733      Pavarde733     8.20              8.20
Vardas249      Pavarde249     8.20              8.20
Vardas169      Pavarde169     8.18              8.18
Vardas33       Pavarde33      8.18              7.81
Vardas456      Pavarde456     8.17              8.74
Vardas549      Pavarde549     8.16              8.16
Vardas126      Pavarde126     8.14              8.40
Vardas945      Pavarde945     8.14              8.24
Vardas408      Pavarde408     8.13              8.46
Vardas506      Pavarde506     8.11              8.11
Vardas313      Pavarde313     8.10              8.12
Vardas580      Pavarde580     8.10              8.39
Vardas305      Pavarde305     8.10              8.10
Vardas228      Pavarde228     8.09              8.42
Vardas465      Pavarde465     8.08              8.14
Vardas726      Pavarde726     8.07              7.95
Vardas937      Pavarde937     8.06              8.23
Vardas735      Pavarde735     8.05              8.48
Vardas665      Pavarde665     8.04              8.32
Vardas481      Pavarde481     8.04              8.04
Vardas326      Pavarde326     8.04              8.04
Vardas639      Pavarde639     8.04              8.94
Vardas933      Pavarde933     8.03              8.50
Vardas921      Pavarde921     8.03              8.15
Vardas771      Pavarde771     8.02              7.99
Vardas403      Pavarde403     8.01              8.28
Vardas484      Pavarde484     8.00              8.04
Vardas387      Pavarde387     7.97              7.86
Vardas19       Pavarde19      7.97              7.97
Vardas7        Pavarde7       7.97              8.22
Vardas474      Pavarde474     7.96              7.75
Vardas199      Pavarde199     7.94              7.36
Vardas678      Pavarde678     7.93              7.76
Vardas194      Pavarde194     7.93              7.79
Vardas958      Pavarde958     7.92              8.64
Vardas889      Pavarde889     7.90              7.70
Vardas37       Pavarde37      7.90              7.77
Vardas547      Pavarde547     7.90              8.04
Vardas426      Pavarde426     7.90              7.95
Vardas934      Pavarde934     7.89              7.49
Vardas990      Pavarde990     7.89              7.89
Vardas172      Pavarde172     7.84              8.00
Vardas32       Pavarde32      7.84              8.21
Vardas839      Pavarde839     7.84              8.04
Vardas504      Pavarde504     7.83              7.89
Vardas221      Pavarde221     7.82              7.82
Vardas401      Pavarde401     7.82              8.58
Vardas519      Pavarde519     7.82              7.82
Vardas300      Pavarde300     7.81              7.54
Vardas343      Pavarde343     7.81              7.85
Vardas386      Pavarde386     7.80              7.80
Vardas950      Pavarde950     7.78              7.34
Vardas187      Pavarde187     7.78              8.31
Vardas978      Pavarde978     7.77              7.79
Vardas993      Pavarde993     7.76              7.92
Vardas356      Pavarde356     7.74              7.74
Vardas441      Pavarde441     7.74              7.74
Vardas281      Pavarde281     7.74              7.68
